City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,worland,44.0169,-107.9554,19.82,65,0,3.6,US,1687240078
351,yaita,36.8,139.9333,26.99,52,82,3.71,JP,1687239936
352,monteagudo,-19.8167,-63.9833,11.79,74,1,1.95,BO,1687240078
353,buka,40.8108,69.1986,33.59,24,50,1.6,UZ,1687240078
354,childress,34.4264,-100.204,28.29,78,0,3.6,US,1687239873
355,vadso,70.0744,29.7487,11.49,71,20,5.66,NO,1687240079
356,selfoss,63.9331,-20.9971,9.47,87,66,2.08,IS,1687240079
357,inari,68.906,27.0288,14.11,52,70,2.98,FI,1687240079
358,bucerias,20.75,-105.3333,25.38,72,46,1.42,MX,1687240079
359,gadzhiyevo,69.2551,33.3362,8.68,56,1,2.87,RU,1687240079
360,playa del ingles,27.7567,-15.5787,21.33,87,79,0.74,ES,1687239938
361,joanopolis,-22.9303,-46.2756,8.87,93,38,1.48,BR,1687240079
362,azhikkal,11.9,75.3667,30.42,68,90,4.42,IN,1687240080
363,chimoio,-19.1164,33.4833,12.92,87,0,2.0,MZ,1687240080
364,harstad,68.799,16.5293,19.58,66,100,2.68,NO,1687240080
